name,industry,employee_count,annual_revenue
Acme Corp,Logistics,120,12000000
Globex Inc,Consumer Goods,15,500000
Initech,Real Estate,50,4500000
Umbrella Group,Robotics,15,45000000
Stark Industries,Healthcare,15,500000
Wayne Enterprises,Media,5000,500000
Hooli,Healthcare,50,45000000
Pied Piper,Media,15,45000000
Massive Dynamic,Manufacturing,300,120000000
Soylent Corp,Consumer Goods,15,45000000
Cyberdyne Systems,Robotics,5000,500000
Aperture Science,Healthcare,15,45000000
Wonka Industries,Finance,750,12000000
Gringotts Ltd,Finance,50,45000000
Oscorp,Retail,120,500000
LexCorp,Robotics,300,4500000
Tyrell Corp,Manufacturing,50,45000000
Vandelay Industries,Software,300,12000000
Prestige Worldwide,Consumer Goods,5000,4500000
Dunder Mifflin,Consulting,12000,4500000
Sterling Cooper,Retail,300,1200000
Bluth Company,Healthcare,50,45000000
Monsters Inc,Retail,12000,4500000
Buy N Large,Consulting,750,45000000
Weyland-Yutani,Manufacturing,50,45000000
Nakatomi Trading,Media,120,4500000
Gekko & Co,Finance,12000,12000000
Multinational United,Software,50,45000000
Zephyr Logistics,Robotics,1500,4500000
Northwind Traders,Logistics,12000,45000000
BrightPath Solutions,Consulting,50,500000
Ironclad Systems,Retail,12000,120000000
Silverline Media,Consumer Goods,50,500000
Quantum Retail,Retail,12000,4500000
Meridian Health,Media,1500,500000
Cascade Financial,Consulting,1500,1200000
Summit Analytics,Robotics,50,12000000
Vertex Robotics,Software,300,4500000
Harborview Consulting,Finance,300,12000000
Pinnacle Manufacturing,Media,12000,500000
Oakridge Realty,Finance,12000,12000000
